secondary_name,objectid,address,feat_type,sub_type,vanity_name,name,bldg,parent_name,parent_type,acreage,parent_acreage
,3482,7370 CENTRAL AVE,Cultural,,,Ryerss Museum & Library,N,Burholme Park,Park,1.55008148,66.19908635
,3483,740 S 17TH ST,Playground,,,Marian Anderson Recreation Center,N,Marian Anderson Recreation Center,Playground,2.96168204,3.3609047
,3484,7401 LINDBERGH BLVD,Park,,,Eastwick Park/Suffolk Park,N,,,11.30207578,
,3485,7422 BUSTLETON AVE,Shopping Center Ground,Parking Lot,,Target Center,N,Target Center,Shopping Center Ground,5.2086077,14.45799236
,3486,743-81 N 48TH ST,Playground,,,Mill Creek Playground,N,Mill Creek Playground,Playground,2.54135999,2.62665822
,2888,9571 FRANKFORD AVE,Cemetery,,,All Saints Episcopal Church Cemetery,N,All Saints Episcopal Church Cemetery,Cemetery,3.222107,3.25208898
,3488,750 S 12TH ST,Park,,,Hawthorne Park,N,,,0.87875802,
,3489,430 E WASHINGTON LN,School,Middle School,,Theodore Roosevelt Middle School,Y,,,1.62999471,
,2887,9550 LEON ST,Golf Course,,,John F Byrne Golf Course,N,John F Byrne Golf Course,Golf Course,85.84600546,86.07332377
,2889,9600 JAMES ST,Transportation,Parking Lot,,Parking Lot - Torresdale Station,N,,,1.08126221,
,2890,7520 CITY AVE,Shopping Center Ground,Parking Lot,,Shopping Center,N,Shopping Center,Shopping Center Ground,3.30827826,235.41966052
,2891,7522-24 CASTOR AVE,Shopping Center Ground,Parking Lot,,Shopping Center,N,Shopping Center,Shopping Center Ground,0.55998061,235.41966052
,2892,7530 ANDERSON ST,Park,,,Wissahickon East,N,,,5.614821,
,2893,7543-79 HAVERFORD AVE,Shopping Center Ground,Parking Lot,,Haverford Avenue Shops,N,Haverford Avenue Shops,Shopping Center Ground,0.51961766,1.03233092
,2894,7600 BUIST AVE,Park,,,Clearview Park,N,,,5.59452146,
,3081,3340 SOLLY AVE,Playground,,,Ramp Playground,Y,Ramp Playground,Playground,0.02696152,9.49202617
,3279,6537 RISING SUN AVE,School,,,Bethany Academy,Y,,,0.09804574,
,2895,7601-51 LINDBERGH BLVD,Shopping Center Ground,Parking Lot,,Penrose Park,N,Penrose Park,Shopping Center Ground,3.2163801,4.34230114
,2896,7620 LINDBERGH BLVD,Shopping Center Ground,Parking Lot,,Lindenbergh Plaza,N,Lindenbergh Plaza,Shopping Center Ground,1.72711041,2.29677826
,2897,7640-52 GERMANTOWN AVE,Shopping Center Ground,Parking Lot,,Chestnut Hill Plaza,N,Chestnut Hill Plaza,Shopping Center Ground,0.67217237,0.90387418
,3067,6119-31 GERMANTOWN AVE,Museum,,,Germantown Mennonite Meeting House & Cemetery,Y,,,0.0506019,
,3068,6452 GREENE ST,School,,,School of the Roman Catholic Church of Saint Madeleine Sophie,Y,,,0.32040776,
,3069,647-59 N 42ND ST,House of Worship,,,Mt Olivet Tabernacle Baptist,Y,,,0.20615254,
,3070,648 S 57TH ST,House of Worship,,,True House of God,Y,,,0.03151347,
,3071,6500-90 OLD YORK RD,House of Worship,,,Carmelite Monastery,Y,,,0.37538968,
,3072,6501-33 LIMEKILN PIKE,School,High School,,Hill-Freedman World Academy HS,Y,,,0.82899671,
,3281,654 N 12TH ST,House of Worship,,,Zoar United Methodist Church,Y,,,0.15598678,
,3073,6501-95 E ROOSEVELT BLVD,Shopping Center Ground,,,Roosevelt Plaza,Y,Roosevelt Plaza,Shopping Center Ground,2.33989366,5.59331144
,3074,6501 CHEW AVE,School,Elementary School,,Eleanor C. Emlen Elementary School,Y,,,0.80847718,
,3075,6501 HEGERMAN ST,Playground,,,Dorsey Playground Building,Y,Dorsey Playground,Park,0.04585571,2.43026814
,3076,6502 LINCOLN DR,School,Preschool,,The Cooperative Nursery School,Y,,,0.04695093,
,3077,6509-11 LINCOLN DR,House of Worship,,,Unitarian Society of Germantown,Y,,,0.26208509,
,3078,651-59 N 40TH ST,House of Worship,,,40th Church of God,Y,,,0.1504437,
,3079,6513 BUSTLETON AVE,House of Worship,,,Inglesia Evangelica Discipulos de Jesucristo,Y,,,0.09137208,
